,timestamp,dap
0,1516323600,58.69
1,1516327200,51.07
2,1516330800,47.07
3,1516334400,45.27
4,1516338000,45.09
5,1516341600,45.09
6,1516345200,52.0
7,1516348800,59.2
8,1516352400,59.89
9,1516356000,59.96
10,1516359600,59.46
11,1516363200,58.7
12,1516366800,56.58
13,1516370400,55.4
14,1516374000,54.83
15,1516377600,52.01
16,1516381200,52.0
17,1516384800,54.83
18,1516388400,58.69
19,1516392000,59.86
20,1516395600,59.95
21,1516399200,59.46
22,1516402800,59.06
23,1516406400,46.95
0,1516410000,58.49
1,1516413600,58.99
2,1516417200,58.99
3,1516420800,58.49
4,1516424400,47.0
5,1516428000,46.95
6,1516431600,46.95
7,1516435200,42.74
8,1516438800,41.27
9,1516442400,51.0
10,1516446000,58.49
11,1516449600,57.8
12,1516453200,50.66
13,1516456800,58.01
14,1516460400,47.0
15,1516464000,44.4
16,1516467600,44.2
17,1516471200,44.38
18,1516474800,49.38
19,1516478400,58.09
20,1516482000,58.49
21,1516485600,57.5
22,1516489200,46.05
23,1516492800,59.54
0,1516496400,44.4
1,1516500000,44.4
2,1516503600,39.05
3,1516507200,38.12
4,1516510800,38.1
5,1516514400,38.07
6,1516518000,38.08
7,1516521600,38.18
8,1516525200,38.63
9,1516528800,40.35
10,1516532400,46.7
11,1516536000,46.05
12,1516539600,45.97
13,1516543200,47.93
14,1516546800,45.66
15,1516550400,44.2
16,1516554000,41.69
17,1516557600,44.54
18,1516561200,58.03
19,1516564800,60.9
20,1516568400,61.97
21,1516572000,63.43
22,1516575600,61.8
23,1516579200,56.09
0,1516582800,58.03
1,1516586400,44.72
2,1516590000,40.95
3,1516593600,40.35
4,1516597200,39.85
5,1516600800,40.2
6,1516604400,44.5
7,1516608000,58.03
8,1516611600,59.01
9,1516615200,60.79
10,1516618800,60.1
11,1516622400,58.7
12,1516626000,58.09
13,1516629600,58.01
14,1516633200,55.69
15,1516636800,52.73
16,1516640400,52.16
17,1516644000,55.8
18,1516647600,57.69
19,1516651200,59.03
20,1516654800,61.01
21,1516658400,60.32
22,1516662000,57.86
23,1516665600,61.69
0,1516669200,59.01
1,1516672800,53.01
2,1516676400,49.4
3,1516680000,47.43
4,1516683600,47.43
5,1516687200,47.76
6,1516690800,53.48
7,1516694400,59.34
8,1516698000,61.41
9,1516701600,61.8
10,1516705200,61.62
11,1516708800,60.69
12,1516712400,59.55
13,1516716000,60.02
14,1516719600,59.34
15,1516723200,58.7
16,1516726800,59.34
17,1516730400,58.03
18,1516734000,61.09
19,1516737600,62.57
20,1516741200,63.51
21,1516744800,63.09
22,1516748400,61.77
23,1516752000,57.69
0,1516755600,61.59
1,1516759200,59.75
2,1516762800,57.69
3,1516766400,53.01
4,1516770000,49.57
5,1516773600,51.0
6,1516777200,56.65
7,1516780800,58.7
8,1516784400,59.9
9,1516788000,59.9
10,1516791600,58.51
11,1516795200,57.45
12,1516798800,55.9
13,1516802400,55.83
14,1516806000,53.56
15,1516809600,50.86
16,1516813200,50.09
17,1516816800,52.17
18,1516820400,57.45
19,1516824000,59.75
20,1516827600,60.82
21,1516831200,60.01
22,1516834800,59.0
23,1516838400,43.09
0,1516842000,58.95
1,1516845600,56.02
2,1516849200,47.76
3,1516852800,46.01
4,1516856400,45.39
5,1516860000,45.39
6,1516863600,54.82
7,1516867200,55.84
8,1516870800,58.68
9,1516874400,59.11
10,1516878000,58.95
11,1516881600,58.19
12,1516885200,56.94
13,1516888800,56.92
14,1516892400,55.69
15,1516896000,51.89
16,1516899600,49.0
17,1516903200,49.37
18,1516906800,55.69
19,1516910400,57.69
20,1516914000,57.98
21,1516917600,54.19
22,1516921200,48.17
23,1516924800,54.77
0,1516928400,42.61
1,1516932000,38.12
2,1516935600,37.59
3,1516939200,37.39
4,1516942800,37.09
5,1516946400,36.84
6,1516950000,39.91
7,1516953600,51.27
8,1516957200,57.3
9,1516960800,58.01
10,1516964400,57.6
11,1516968000,53.75
12,1516971600,50.23
13,1516975200,49.2
14,1516978800,48.96
15,1516982400,48.25
16,1516986000,48.25
17,1516989600,51.15
18,1516993200,54.7
19,1516996800,57.98
20,1517000400,58.44
21,1517004000,58.39
22,1517007600,57.3
23,1517011200,59.42
0,1517014800,51.47
1,1517018400,39.52
2,1517022000,38.12
3,1517025600,38.05
4,1517029200,37.92
5,1517032800,37.92
6,1517036400,38.09
7,1517040000,39.27
8,1517043600,43.45
9,1517047200,51.47
10,1517050800,56.09
11,1517054400,54.15
12,1517058000,49.09
13,1517061600,51.09
14,1517065200,46.95
15,1517068800,44.6
16,1517072400,44.49
17,1517076000,46.0
18,1517079600,57.2
19,1517083200,60.08
20,1517086800,60.59
21,1517090400,60.61
22,1517094000,60.37
23,1517097600,58.19
0,1517101200,57.12
1,1517104800,53.01
2,1517108400,42.1
3,1517112000,39.98
4,1517115600,39.66
5,1517119200,39.66
6,1517122800,39.81
7,1517126400,39.98
8,1517130000,40.0
9,1517133600,41.6
10,1517137200,50.0
11,1517140800,51.65
12,1517144400,51.58
13,1517148000,52.88
14,1517151600,50.66
15,1517155200,43.42
16,1517158800,41.6
17,1517162400,44.01
18,1517166000,53.95
19,1517169600,59.58
20,1517173200,60.98
21,1517176800,61.99
22,1517180400,60.98
23,1517184000,54.04
0,1517187600,56.37
1,1517191200,46.18
2,1517194800,45.13
3,1517198400,45.09
4,1517202000,46.0
5,1517205600,47.95
6,1517209200,57.79
7,1517212800,59.42
8,1517216400,58.99
9,1517220000,58.99
10,1517223600,59.01
11,1517227200,58.19
12,1517230800,56.37
13,1517234400,55.39
14,1517238000,54.23
15,1517241600,54.14
16,1517245200,54.04
17,1517248800,54.14
18,1517252400,58.19
19,1517256000,59.58
20,1517259600,59.8
21,1517263200,59.25
22,1517266800,54.63
23,1517270400,55.31
0,1517274000,48.01
1,1517277600,44.1
2,1517281200,41.2
3,1517284800,41.06
4,1517288400,41.2
5,1517292000,43.6
6,1517295600,48.01
7,1517299200,55.39
8,1517302800,57.0
9,1517306400,58.58
10,1517310000,58.87
11,1517313600,58.75
12,1517317200,58.58
13,1517320800,58.39
14,1517324400,58.19
15,1517328000,57.79
16,1517331600,56.37
17,1517335200,58.19
18,1517338800,58.99
19,1517342400,60.07
20,1517346000,60.19
21,1517349600,59.69
22,1517353200,58.01
23,1517356800,58.78
0,1517360400,58.78
1,1517364000,55.39
2,1517367600,51.13
3,1517371200,48.46
4,1517374800,48.46
5,1517378400,50.82
6,1517382000,55.39
7,1517385600,58.01
8,1517389200,58.99
9,1517392800,59.26
10,1517396400,59.25
11,1517400000,58.67
12,1517403600,58.39
13,1517407200,59.0
14,1517410800,58.39
15,1517414400,58.19
16,1517418000,57.98
17,1517421600,57.07
18,1517425200,58.99
19,1517428800,60.13
20,1517432400,60.61
21,1517436000,60.37
22,1517439600,59.25
23,1517443200,52.14
0,1517446800,60.0
1,1517450400,57.79
2,1517454000,55.31
3,1517457600,50.96
4,1517461200,47.07
5,1517464800,46.0
6,1517468400,54.0
7,1517472000,59.37
8,1517475600,60.77
9,1517479200,60.61
10,1517482800,60.17
11,1517486400,59.25
12,1517490000,57.3
13,1517493600,55.04
14,1517497200,46.88
15,1517500800,44.99
16,1517504400,44.68
17,1517508000,46.32
18,1517511600,53.81
19,1517515200,58.19
20,1517518800,59.37
21,1517522400,58.87
22,1517526000,55.1
23,1517529600,58.72
0,1517533200,44.9
1,1517536800,41.6
2,1517540400,40.55
3,1517544000,39.5
4,1517547600,39.25
5,1517551200,39.5
6,1517554800,41.73
7,1517558400,54.23
8,1517562000,58.29
9,1517565600,58.59
10,1517569200,58.1
11,1517572800,54.65
12,1517576400,54.49
13,1517580000,52.04
14,1517583600,45.2
15,1517587200,44.1
16,1517590800,44.61
17,1517594400,51.37
18,1517598000,57.65
19,1517601600,60.05
20,1517605200,60.61
21,1517608800,60.17
22,1517612400,58.99
23,1517616000,51.0
0,1517619600,58.39
1,1517623200,54.1
2,1517626800,45.1
3,1517630400,43.84
4,1517634000,43.57
5,1517637600,43.39
6,1517641200,43.64
7,1517644800,44.35
8,1517648400,44.1
9,1517652000,50.28
10,1517655600,55.01
11,1517659200,51.07
12,1517662800,46.96
13,1517666400,46.95
14,1517670000,44.35
15,1517673600,43.57
16,1517677200,43.39
17,1517680800,47.38
18,1517684400,50.54
19,1517688000,58.19
20,1517691600,58.99
21,1517695200,58.59
22,1517698800,55.1
23,1517702400,58.1
0,1517706000,50.28
1,1517709600,44.55
2,1517713200,43.97
3,1517716800,43.4
4,1517720400,43.4
5,1517724000,43.9
6,1517727600,44.01
7,1517731200,44.35
8,1517734800,44.35
9,1517738400,52.01
10,1517742000,57.98
11,1517745600,58.09
12,1517749200,57.02
13,1517752800,58.19
14,1517756400,57.98
15,1517760000,54.47
16,1517763600,52.55
17,1517767200,54.1
18,1517770800,58.29
19,1517774400,59.82
20,1517778000,62.02
21,1517781600,62.1
22,1517785200,59.81
23,1517788800,49.59
0,1517792400,58.09
1,1517796000,49.59
2,1517799600,44.78
3,1517803200,44.35
4,1517806800,44.35
5,1517810400,44.35
6,1517814000,49.33
7,1517817600,59.35
8,1517821200,60.81
9,1517824800,62.62
10,1517828400,62.02
11,1517832000,60.77
12,1517835600,59.42
13,1517839200,59.31
14,1517842800,57.5
15,1517846400,53.56
16,1517850000,53.4
17,1517853600,56.93
18,1517857200,58.99
19,1517860800,60.57
20,1517864400,61.81
21,1517868000,60.77
22,1517871600,58.55
23,1517875200,50.16
0,1517878800,45.5
1,1517882400,44.35
2,1517886000,43.53
3,1517889600,42.06
4,1517893200,42.05
5,1517896800,43.03
6,1517900400,44.69
7,1517904000,56.77
8,1517907600,62.51
9,1517911200,62.09
10,1517914800,60.07
11,1517918400,58.75
12,1517922000,55.06
13,1517925600,54.1
14,1517929200,52.91
15,1517932800,51.62
16,1517936400,53.75
17,1517940000,60.21
18,1517943600,62.48
19,1517947200,62.36
20,1517950800,62.09
21,1517954400,61.87
22,1517958000,58.99
23,1517961600,61.28
0,1517965200,48.25
1,1517968800,44.69
2,1517972400,44.19
